625 163,87 A1 kväll noun-en
626 163,82 A1 bildning noun-en
627 163,54 A1 länk noun-en
628 162,65 A1 växa verb
629 162,15 A1 per prep
630 161,83 A1 offentlig adjective
631 161,72 A1 såväl conj
632 161,66 A1 våga verb
633 161,30 A1 vatten noun-ett
634 161,22 A1 håll noun-ett
635 160,58 A1 mänsklig adjective
636 160,56 A1 demokrati noun-en
637 160,43 A1 fatta verb
638 159,88 A1 jord noun-en
639 159,45 A1 känsla noun-en
640 159,43 A1 förändring noun-en
641 159,17 A1 nämna verb
642 159,15 A1 tyvärr adverb
643 159,02 A1 enskild adjective
644 158,98 A1 rätt particle
645 158,82 A1 be (el. bedja) verb
646 158,58 A1 punkt noun-en
647 158,58 A1 ändring noun-en
648 158,08 A1 mission noun-en
649 157,53 A1 igår (el. i går) adverb
650 157,33 A1 kommission noun-en
651 156,85 A1 ort noun-en
652 156,58 A1 anta verb
653 156,41 A1 trots att subj
654 156,33 A1 spel noun-ett
655 156,31 A1 språk noun-ett
656 156,27 A1 föreslå verb
657 154,93 A1 igenom prep
658 154,38 A1 undra verb
659 154,19 A1 eget adjective
660 153,97 A1 möte noun-ett
661 153,94 A1 mat noun-en
662 153,55 A1 gräns noun-en
663 152,94 A1 lyssna verb
664 152,80 A1 delta verb
665 152,70 A1 samarbete noun-ett
666 152,60 A1 annars adverb
667 152,58 A1 falla verb
668 152,36 A1 nära adjective
669 152,07 A1 rum noun-ett
670 151,93 A1 ungefär adverb
671 151,68 A1 starta verb
672 151,51 A1 inse verb
673 151,38 A1 internet noun
674 150,99 A1 hov noun-ett
675 150,86 A1 öppen adjective
676 150,84 A1 bidra verb
677 150,59 A1 död noun-en
678 150,20 A1 luta verb
679 150,07 A1 öga noun-ett
680 149,46 A1 säkert adverb
681 149,25 A1 ämne noun-ett
682 148,91 A1 få adjective
683 148,76 A1 augusti noun
684 148,49 A1 socialdemokrat (vardagl. sosse) noun-en
685 148,31 A1 projekt noun-ett
686 148,21 A1 övrig adjective
687 148,09 A1 dels conj
688 147,43 A1 framför allt (el. framförallt) adverb
689 147,36 A1 positiv adjective
690 147,33 A1 rolig adjective
691 146,95 A1 port noun-en
692 146,68 A1 bero verb
693 145,82 A1 kropp noun-en
694 145,43 A1 minnas verb
695 145,37 A1 handling noun-en
696 145,06 A1 rösta verb
697 144,98 A1 riktig adjective
698 144,86 A1 rapport noun-en
699 144,58 A1 lösning noun-en
700 143,81 A1 personlig adjective
701 142,95 A1 kommentera verb
702 142,78 A1 som att subj
